Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Jerome, Idaho",,61.0,55.0,109.8344151,190000.0,,,,,96.0,,,,,16.93912423,13.86138614,11.63,,,,143400.0,1090.0,1045.0,0.694
12/31/17,"Kootenai, Idaho",,1114.0,962.0,165.8271322,349900.0,2.220323712,7500.0,0.862735356,1400.0,144.0,,,,,9.39448738,6.024096386,14.1,,,,251200.0,1489.0,1417.0,0.858
12/31/17,"Latah, Idaho",,,,,250000.0,,,,,,,,,,7.947261282,2.830188679,13.69,,,,221600.0,1359.0,1345.0,
12/31/17,"Lemhi, Idaho",,102.0,101.0,153.4017972,315000.0,,,,,,,,,,6.747430471,3.773584906,,,,,,1172.0,1157.0,0.728
12/31/17,"Lewis, Idaho",,,,,,,,,,,,,,,,,13.12,,,,173900.0,,,
12/31/17,"Lincoln, Idaho",,22.0,22.0,,,,,,,,,,,,,,,,,,,,,
12/31/17,"Madison, Idaho",,79.0,63.0,94.9428072,260000.0,,,,,80.0,,,,,14.93128236,10.75268817,13.24,,,,184100.0,1214.0,1131.0,0.51
12/31/17,"Minidoka, Idaho",,29.0,33.0,84.32743727,,,,,,,,,,,,,,,,,,,,
12/31/17,"Nez Perce, Idaho",,162.0,156.0,110.2255639,229000.0,3.267973856,6300.0,,,97.0,,,,,10.43765935,7.582938389,13.0,,,,191300.0,1231.0,1225.0,0.628
12/31/17,"Oneida, Idaho",,,,,,,,,,,,,,,,,14.24,,,,196200.0,,,
12/31/17,"Owyhee, Idaho",,,,123.0113636,,,,,,109.0,,,,,,,13.59,,,,200500.0,1172.0,1105.0,0.706
12/31/17,"Payette, Idaho",,100.0,82.0,115.7255182,208949.5,1.852537977,3000.0,,,95.0,,,,,13.5844444,9.016393443,11.12,,,,148200.0,1127.0,1120.0,0.686
12/31/17,"Power, Idaho",,25.0,23.0,,,,,,,,,,,,,,13.02,,,,175800.0,1131.0,1126.0,
12/31/17,"Shoshone, Idaho",,49.0,44.0,,116250.0,,,,,,,,,,,,,,,,,859.0,860.0,
12/31/17,"Teton, Idaho",,,,215.5894925,425000.0,,,,,157.0,,,,,7.929827418,4.651162791,16.88,,,,354400.0,1541.0,1400.0,0.782
12/31/17,"Twin Falls, Idaho",,446.0,396.0,120.266915,230000.0,2.820465346,5000.0,,,97.0,,,,,17.43359486,13.61940299,11.87,,,,159800.0,1143.0,1127.0,0.614
12/31/17,"Valley, Idaho",,,,209.2752384,374950.0,4.115226337,14900.0,,,,,,,,6.878426698,4.0,,,,,,,,
12/31/17,"Washington, Idaho",,80.0,70.0,94.89203572,177950.0,,,,,,,,,,9.783365641,5.952380952,,,,,,,,
12/31/17,"Adams, Illinois",,244.0,250.0,,115750.0,3.448275862,5000.0,,,78.0,32.42,54.37,,,10.74760869,7.01754386,8.01,,,,109800.0,1136.0,1136.0,0.764
12/31/17,"Bond, Illinois",,85.0,78.0,69.3334165,84950.0,,,,,,,,,,14.41161071,10.41666667,,2.0,3.0,,,,,
12/31/17,"Boone, Illinois",,200.0,189.0,87.69559033,181916.0,3.349191459,5000.0,,,89.0,12.45,83.23,,,16.29389278,12.40310078,9.52,,,,158900.0,1413.0,1392.0,0.802
12/31/17,"Bureau, Illinois",,238.0,224.0,,101500.0,5.464480874,4100.0,,,,,,,,11.71946708,7.011070111,,,,,,1083.0,1085.0,0.748
12/31/17,"Calhoun, Illinois",,,,,,,,,,,0.0,100.0,,,,,8.69,0.0,0.0,,114000.0,,,
12/31/17,"Carroll, Illinois",,,,64.64577657,,6.583258531,5950.0,,,49.0,41.44,51.92,,,11.05706386,6.666666667,6.0,,,,74800.0,1098.0,1108.0,0.674
12/31/17,"Cass, Illinois",,,,53.6,80356.0,,,,,,,,,,,,,,,,,,,
12/31/17,"Champaign, Illinois",,972.0,922.0,104.8462255,147900.0,3.335279121,5000.0,0.954274505,1100.0,93.0,39.21,47.47,,,14.55030088,9.076175041,10.11,,,,137100.0,1138.0,1108.0,0.752
12/31/17,"Christian, Illinois",,,,71.05263158,85000.0,,,,,69.0,16.7,78.43,,,,,7.24,,,,80700.0,,,
12/31/17,"Clark, Illinois",,,,60.86561156,89900.0,,,,,,,,,,,,,,,,,,,
